********************************************************************
*                                                                  *
* Surface Mount Top Report                                         *
*                                                                  *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\23-325-0\23-325-0.MAX  *
* Mon Jul 29 15:28:08 2024                                         *
*                                                                  *
********************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X INSERT   Y INSERT   ROTATION
------------------------------------------------------------------------------------------------------------
513                                          02.RIF-MONT-SMD                 13.34 mm   121.29 mm 0       
514                                          02.RIF-MONT-SMD                 78.74 mm   123.19 mm 0       
515                                          02.RIF-MONT-SMD                 1.27 mm    6.35 mm   0       
BZ1        KTG0905CL        BZ               KTG0905CL-KINGSTATE             32.39 mm   27.31 mm  270     
C1         100nF            C                SMD0603                         72.39 mm   34.29 mm  90      
C2         100nF            C                SMD0603                         70.49 mm   34.29 mm  90      
C3         1uF              C                SMD0805-MET                     76.84 mm   29.85 mm  90      
C4         68pF             C                SMD0603                         62.23 mm   2.54 mm   270     
C5         68pF             C                SMD0603                         68.58 mm   2.54 mm   270     
C6         10uF/25V         CPOL             ETANT-B-R                       43.18 mm   118.11 mm 90      
C7         100nF            C                SMD0603                         57.15 mm   116.84 mm 0       
C8         100nF            C                SMD0603                         48.26 mm   116.84 mm 180     
C9         100nF            C                SMD0603                         48.26 mm   114.30 mm 180     
C10        100nF            C                SMD0603                         57.15 mm   114.30 mm 0       
C11        10uF/50V         CPOL             ETANT-D-R                       46.36 mm   20.32 mm  180     
C12        10nF             C                SMD0603                         52.07 mm   8.89 mm   180     
C13        1uF              COND             SMD0805-MET                     51.44 mm   -2.54 mm  90      
C14        100nF            C                SMD0603                         52.71 mm   20.32 mm  90      
C15        100nF            C                SMD0603                         65.41 mm   21.59 mm  270     
C16        100nF            C                SMD0603                         0.64 mm    57.79 mm  180     
C17        100nF            C                SMD0603                         0.64 mm    64.14 mm  180     
C18        100nF            C                SMD0603                         16.51 mm   59.69 mm  180     
C19        100nF            C                SMD0603                         0.64 mm    66.68 mm  180     
C20        100nF            C                SMD0603                         8.89 mm    61.60 mm  180     
C21        100nF            C                SMD0603                         12.70 mm   66.68 mm  180     
C22        100nF            C                SMD0603                         0.64 mm    31.75 mm  180     
C23        100nF            C                SMD0603                         0.64 mm    37.47 mm  180     
C24        100nF            C                SMD0603                         0.64 mm    26.04 mm  180     
C25        100nF            C                SMD0603                         0.64 mm    29.85 mm  180     
C26        100nF            C                SMD0603                         8.89 mm    33.02 mm  180     
C27        100nF            C                SMD0603                         12.70 mm   36.83 mm  180     
C28        100nF            C                SMD0603                         0.64 mm    45.09 mm  180     
C29        100nF            C                SMD0603                         0.64 mm    51.44 mm  180     
C30        100nF            C                SMD0603                         16.51 mm   45.09 mm  180     
C31        100nF            C                SMD0603                         16.51 mm   43.18 mm  180     
C32        100nF            C                SMD0603                         8.26 mm    46.99 mm  180     
C33        100nF            C                SMD0603                         12.70 mm   50.80 mm  180     
C34        100nF            C                SMD0603                         58.42 mm   60.96 mm  270     
C35        47uF             CPOL             ALUMIN_D                        73.66 mm   120.65 mm 180     
C36        100nF            C                SMD0603                         85.09 mm   111.13 mm 270     
C37        220nF            COND             SMD1206                         64.77 mm   114.30 mm 180     
C38        10nF             C                SMD0603                         66.04 mm   108.59 mm 0       
C39        47uF             CPOL             ALUMIN_D                        77.47 mm   94.62 mm  180     
C40        100nF            C                SMD0603                         85.09 mm   87.63 mm  90      
C41        220nF            COND             SMD1206                         64.77 mm   89.54 mm  180     
C42        10nF             C                SMD0603                         66.04 mm   83.82 mm  0       
C43        1uF              COND             SMD0805-MET                     71.76 mm   37.47 mm  270     
